chem_formula,category,crystal_system,bravais_lattice,precision_level,rgkmax,k_point_density,functional,total_energy,E_cut,precision_element1,precision_element2,precision_element3,min_atom_num,max_atom_num,numbers,json_id_num,name,num_atoms,A_atom_num,B_atom_num,A_EA_half,B_EA_half,A_rs,A_s_index,A_rp,A_p_index,A_rd,A_d_index,A_rf,A_f_index,B_rs,B_s_index,B_rp,B_p_index,B_rd,B_d_index,B_rf,B_f_index,A_HOMO,A_LUMO,B_HOMO,B_LUMO,A_EA_delta,A_IP_half,A_IP_delta,B_EA_delta,B_IP_half,B_IP_delta,A_energy,A_bravais_lattice,A_num_atoms,B_energy,B_bravais_lattice,B_num_atoms,A_energy_error,B_energy_error,A_fraction,B_fraction,stoich_pred,A_stoich,B_stoich,stoich_error_pred,A_stoich_error,B_stoich_error,binary_energy_of_formation,binary_energy_error,binary_eof_error
Al4P4,binaries,cubic,cF,30.0,3.17470455,8.0,pbe,-7955.516756642987,34.28208861,30.654,31.081,,13,15,"[15, 15, 15, 15, 13, 13, 13, 13]",11,13_Al,8,15,13,-0.6071147,-0.48227471,0.8359,6.0,0.9704,7.0,1.999,14.0,0.0,0.0,1.111,6.0,1.3994,7.0,9.9999,14.0,0.0,0.0,-6.24123172,-3.71382083,-2.98165033,-2.98165033,-0.681535392,10.43510715,10.491352025,-0.58275585,5.89030739,5.929035492,-9304.5685584043,oS,8,-6606.459604719921,cF,4,-4.415392352919298,-1.0603359509095753,0.5,0.5,-7955.514081562111,-4652.28427920215,-3303.2298023599606,-2.7378641519144367,-2.207696176459649,-0.5301679754547877,-0.002675080876542779,-3.3706588108261712,-0.6327946589117346
C4Si4,binaries,cubic,cF,30.0,3.27945952,8.0,pbe,-4460.56379312021,55.41386577,34.976,30.922,,6,14,"[6, 6, 6, 6, 14, 14, 14, 14]",12,14_Si,8,6,14,-1.46237959,-1.40191482,0.6409,2.0,0.6314,3.0,1.8064,11.0,0.0,0.0,0.9505,6.0,1.1413,7.0,4.8328,11.0,0.0,0.0,-6.05205467,-3.50634355,-4.58454345,-2.97879693,-1.62667163,11.49493763,11.61299938,-1.485127393,8.17443891,8.226505196,-1030.0715107175668,hP,4,-7889.807344698673,cF,2,-6.798905724140695,-2.4673149322452446,0.5,0.5,-4459.93942770812,-515.0357553587834,-3944.9036723493364,-4.63311032819297,-3.3994528620703477,-1.2336574661226223,-0.6243654120903557,-4.207656102620604,0.4254542255725937
In4P4,binaries,cubic,cF,30.0,3.9622827,8.0,pbe,-84683.75580430588,53.40126651,38.259,29.947,,15,49,"[15, 15, 15, 15, 49, 49, 49, 49]",13,15_P,8,15,49,-0.6071147,-0.42506334,0.8359,6.0,0.9704,7.0,1.999,14.0,0.0,0.0,1.1449,24.0,1.5146,25.0,0.493,19.0,0.0,0.0,-6.24123172,-3.71382083,-2.79322651,-2.79322651,-0.681535392,10.43510715,10.491352025,-0.503828411,5.50064963,5.535885081,-9304.5685584043,oS,8,-160075.86088868178,cF,2,-4.415392352919298,-15.91187313356204,0.5,0.5,-84690.21472354305,-4652.28427920215,-80037.93044434089,-10.163632743240669,-2.207696176459649,-7.95593656678102,6.458919237164082,-16.859102496615378,-6.695469753380166
S4Zn4,binaries,cubic,cF,30.0,3.88780219,8.0,pbe,-29854.29856756795,69.11156919,39.142,30.493,,16,30,"[16, 16, 16, 16, 30, 30, 30, 30]",14,16_S,8,16,30,-2.09291139,1.00596785,0.7475,6.0,0.8476,7.0,2.6868,11.0,0.0,0.0,1.1054,15.0,1.6393,16.0,0.2997,10.0,0.0,0.0,-5.96396442,-5.96396442,-5.99854228,-1.067667,-2.161912664,10.17755485,10.215659841,0.940787159,9.85634643,9.902511277,-10853.921651960376,cP,1,-48863.124406597344,hP,2,-8.152822551974168,-11.706868135173863,0.5,0.5,-29858.523029278862,-5426.960825980188,-24431.562203298672,-9.929845343574016,-4.076411275987084,-5.853434067586932,4.224461710909964,-15.281329244819062,-5.351483901242318
Cl4Cu4,binaries,cubic,cF,30.0,3.85270244,8.0,pbe,-28779.419287164663,67.86929999,37.704,30.529,,17,29,"[17, 17, 17, 17, 29, 29, 29, 29]",15,17_Cl,8,17,29,-3.61204219,-1.27943647,0.6782,6.0,0.7558,7.0,2.2149,14.0,0.0,0.0,1.2028,15.0,1.8653,16.0,0.319,10.0,0.0,0.0,-8.09428669,0.07351292,-4.90153402,-3.97007042,-3.692423862,12.97184405,13.023881781,-1.295153636,8.35058622,8.367551932,-12541.641673578915,oS,8,-45022.788575715866,cF,4,-16.40320927051289,-12.970588683187088,0.5,0.5,-28782.21512464739,-6270.820836789458,-22511.394287857933,-14.686898976849989,-8.201604635256444,-6.485294341593544,2.7958374827285297,-17.86621730463594,-3.179318327787769
Cl4K4,binaries,cubic,cF,30.0,3.12208648,8.0,pbe,-14452.002954957208,39.81848698,28.702,30.554,,17,19,"[19, 19, 19, 19, 17, 17, 17, 17]",16,19_K,8,17,19,-3.61204219,-0.43675274,0.6782,6.0,0.7558,7.0,2.2149,14.0,0.0,0.0,2.2067,10.0,0.6124,7.0,2.1213,15.0,0.0,0.0,-8.09428669,0.07351292,-2.54312301,-1.54022265,-3.692423862,12.97184405,13.023881781,-0.455694178,4.39443171,4.391262303,-12541.641673578915,oS,8,-16369.688656852424,cI,2,-16.40320927051289,-15.022167572460603,0.5,0.5,-14455.665165215669,-6270.820836789458,-8184.844328426212,-15.712688421486746,-8.201604635256444,-7.5110837862303015,3.6622102584615277,-21.354033214800438,-5.641344793312783
Ca4O4,binaries,cubic,cF,30.0,3.27163069,8.0,pbe,-10267.453734677898,43.724358,31.949,30.363,,8,20,"[8, 8, 8, 8, 20, 20, 20, 20]",17,20_Ca,8,8,20,-1.62640753,0.31026327,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.7997,10.0,0.5551,7.0,0.6753,11.0,0.0,0.0,-7.09864343,-7.09864343,-3.7635741,-1.95499742,-1.813515141,13.43202126,13.536399783,0.16337658,6.28162381,6.305400741,-2027.6350520801932,tI,4,-18497.6943793316,cF,4,-17.957355602155758,-16.903033526155923,0.5,0.5,-10262.664715705896,-1013.8175260400966,-9248.8471896658,-17.43019456415584,-8.978677801077879,-8.451516763077962,-4.789018972001941,-15.75831109846149,1.6718834656949184
S4Sc4,binaries,cubic,cF,30.0,3.39046634,8.0,pbe,-15813.949060873078,52.56072006,34.135,29.276,,16,21,"[16, 16, 16, 16, 21, 21, 21, 21]",18,21_Sc,8,16,21,-2.09291139,0.26932434,0.7475,6.0,0.8476,7.0,2.6868,11.0,0.0,0.0,1.6338,10.0,2.1383,16.0,0.5804,11.0,0.0,0.0,-5.96396442,-5.96396442,-3.53692415,-3.53692415,-2.161912664,10.17755485,10.215659841,0.041305274,5.7471036,6.404691706,-10853.921651960376,cP,1,-20783.08532547168,hP,2,-8.152822551974168,-12.638348766926356,0.5,0.5,-15818.503488716027,-5426.960825980188,-10391.54266273584,-10.395585659450262,-4.076411275987084,-6.319174383463178,4.554427842949735,-17.15022266062806,-6.754637001176889
N4Ti4,binaries,cubic,cF,30.0,3.52066723,8.0,pbe,-12349.075678939813,56.67511233,36.851,29.833,,7,22,"[7, 7, 7, 7, 22, 22, 22, 22]",19,22_Ti,8,22,7,-0.57901012,0.30192328,1.5843,10.0,2.0971,16.0,0.538,11.0,0.0,0.0,0.5348,2.0,0.5092,3.0,1.6939,10.0,0.0,0.0,-2.52576768,-2.52576768,-8.25462313,-3.99815016,-0.526476342,6.75276856,6.579855169,0.137516499,14.71820934,14.847717177,-23221.77037499919,hP,2,-1478.7396095221309,cP,8,-11.806551776928245,-11.416287930271437,0.5,0.5,-12350.25499226066,-11610.885187499594,-739.3698047610654,-11.611419853599841,-5.9032758884641225,-5.708143965135719,1.1793133208469726,-14.504727135470603,-2.8933072818707615
C4V4,binaries,cubic,cF,30.0,3.51928557,8.0,pbe,-13416.502335226753,63.81502162,37.534,29.524,,6,23,"[6, 6, 6, 6, 23, 23, 23, 23]",20,23_V,8,6,23,-1.46237959,-0.7277671,0.6409,2.0,0.6314,3.0,1.8064,11.0,0.0,0.0,1.4968,10.0,0.4492,7.0,0.4861,11.0,0.0,0.0,-6.05205467,-3.50634355,-3.10083769,-1.50553554,-1.62667163,11.49493763,11.61299938,-0.394700909,7.51374216,7.084616394,-1030.0715107175668,hP,4,-25821.13446028236,cI,2,-6.798905724140695,-11.276057047038194,0.5,0.5,-13425.602985499963,-515.0357553587834,-12910.56723014118,-9.037481385589444,-3.3994528620703477,-5.638028523519097,9.100650273210704,-18.576460820167995,-9.538979434579232
Cr4N4,binaries,cubic,cF,30.0,3.60987936,8.0,pbe,-15027.700708739198,59.58374708,37.785,29.439,,7,24,"[7, 7, 7, 7, 24, 24, 24, 24]",21,24_Cr,8,24,7,-0.33884812,0.30192328,1.4233,10.0,1.9656,16.0,0.4436,11.0,0.0,0.0,0.5348,2.0,0.5092,3.0,1.6939,10.0,0.0,0.0,-3.72345277,-1.32418629,-8.25462313,-3.99815016,-0.335802018,7.57806734,7.390691137,0.137516499,14.71820934,14.847717177,-28579.81491381193,cI,2,-1478.7396095221309,cP,8,-16.413998895019176,-11.416287930271437,0.5,0.5,-15029.27726166703,-14289.907456905965,-739.3698047610654,-13.915143412645307,-8.206999447509588,-5.708143965135719,1.5765529278327222,-15.643874900591982,-1.7287314879466749
Mn4S4,binaries,cubic,cF,30.0,3.86730685,8.0,pbe,-21179.71509603114,68.38481816,38.936,31.126,,16,25,"[16, 16, 16, 16, 25, 25, 25, 25]",22,25_Mn,8,16,25,-2.09291139,0.90883477,0.7475,6.0,0.8476,7.0,2.6868,11.0,0.0,0.0,1.2951,15.0,1.7431,16.0,0.402,10.0,0.0,0.0,-5.96396442,-5.96396442,-4.46461234,-3.78245139,-2.161912664,10.17755485,10.215659841,0.472587548,6.57623536,7.186420695,-10853.921651960376,cP,1,-31512.13736558262,cF,4,-8.152822551974168,-16.425090532004106,0.5,0.5,-21183.0295087715,-5426.960825980188,-15756.06868279131,-12.288956541989137,-4.076411275987084,-8.212545266002053,3.314412740357511,-15.286909757844114,-2.997953215854068
Fe4O4,binaries,cubic,cF,30.0,3.88877806,8.0,pbe,-18325.552804215386,69.1462686,37.976,30.934,,8,26,"[8, 8, 8, 8, 26, 26, 26, 26]",23,26_Fe,8,8,26,-1.62640753,-0.18766997,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.2658,15.0,1.7222,16.0,0.3766,10.0,0.0,0.0,-7.09864343,-7.09864343,-4.36199644,-4.36199644,-1.813515141,13.43202126,13.536399783,-0.313173204,7.16387769,7.816457206,-2027.6350520801932,tI,4,-34617.17012978876,cI,2,-17.957355602155758,-17.090950526493543,0.5,0.5,-18322.40259093448,-1013.8175260400966,-17308.58506489438,-17.52415306432465,-8.978677801077879,-8.545475263246772,-3.1502132809073373,-14.888263933957205,2.635889130368014
Co4O4,binaries,cubic,cF,30.0,3.76018737,8.0,pbe,-19965.669209328564,64.64893938,36.721,29.622,,8,27,"[8, 8, 8, 8, 27, 27, 27, 27]",24,27_Co,8,8,27,-1.62640753,-1.15998337,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.2544,15.0,1.5864,16.0,0.3559,10.0,0.0,0.0,-7.09864343,-7.09864343,-4.05116484,-4.05116484,-1.813515141,13.43202126,13.536399783,-0.872105517,8.50848986,8.125601217,-2027.6350520801932,tI,4,-37901.54205234682,hP,2,-17.957355602155758,-16.695999840070726,0.5,0.5,-19964.588552213507,-1013.8175260400966,-18950.77102617341,-17.326677721113242,-8.978677801077879,-8.347999920035363,-1.0806571150569653,-16.763815842226904,0.5628618788869062
Ni4O4,binaries,cubic,cF,30.0,3.78354396,8.0,pbe,-21698.67964236832,65.45457444,36.949,29.602,,8,28,"[8, 8, 8, 8, 28, 28, 28, 28]",25,28_Ni,8,8,28,-1.62640753,-1.43536779,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.241,15.0,1.5553,16.0,0.3376,10.0,0.0,0.0,-7.09864343,-7.09864343,-3.70515617,-3.70515617,-1.813515141,13.43202126,13.536399783,-1.022052794,8.45472395,8.201275753,-2027.6350520801932,tI,4,-41366.30553241911,cF,4,-17.957355602155758,-17.635569195263088,0.5,0.5,-21696.97029224965,-1013.8175260400966,-20683.152766209554,-17.796462398709423,-8.978677801077879,-8.817784597631544,-1.709350118668226,-16.715135199625365,1.081327199084626
Br4Cu4,binaries,cubic,cF,30.0,3.8871168,8.0,pbe,-57971.83716558797,51.3944026,31.347,30.801,,29,35,"[35, 35, 35, 35, 29, 29, 29, 29]",26,29_Cu,8,35,29,-3.41759179,-1.27943647,0.7517,15.0,0.8829,16.0,0.2281,10.0,0.0,0.0,1.2028,15.0,1.8653,16.0,0.319,10.0,0.0,0.0,-7.45588585,0.09904591,-4.90153402,-3.97007042,-3.486670625,11.82274486,11.864677775,-1.295153636,8.35058622,8.367551932,-70921.21920675963,oS,8,-45022.788575715866,cF,4,-8.670937756731291,-12.970588683187088,0.5,0.5,-57972.00389123775,-35460.60960337982,-22511.394287857933,-10.82076321995919,-4.335468878365646,-6.485294341593544,0.16672564978216542,-11.223670756575302,-0.40290753661611234
O4Zn4,binaries,cubic,cF,30.0,3.75011872,8.0,pbe,-25443.753331064483,64.30318269,36.622,29.413,,8,30,"[8, 8, 8, 8, 30, 30, 30, 30]",27,30_Zn,8,8,30,-1.62640753,1.00596785,0.4597,2.0,0.429,3.0,2.3647,11.0,0.0,0.0,1.1054,15.0,1.6393,16.0,0.2997,10.0,0.0,0.0,-7.09864343,-7.09864343,-5.99854228,-1.067667,-1.813515141,13.43202126,13.536399783,0.940787159,9.85634643,9.902511277,-2027.6350520801932,tI,4,-48863.124406597344,hP,2,-17.957355602155758,-11.706868135173863,0.5,0.5,-25445.37972933877,-1013.8175260400966,-24431.562203298672,-14.83211186866481,-8.978677801077879,-5.853434067586932,1.626398274285748,-18.03449917412945,-3.2023873054640717
Ga4P4,binaries,cubic,cF,30.0,3.79791094,8.0,pbe,-31098.847130884817,49.06255871,36.672,29.948,,15,31,"[15, 15, 15, 15, 31, 31, 31, 31]",28,31_Ga,8,15,31,-0.6071147,-0.34248556,0.8359,6.0,0.9704,7.0,1.999,14.0,0.0,0.0,1.0075,15.0,1.3468,16.0,0.2822,10.0,0.0,0.0,-6.24123172,-3.71382083,-2.87108298,-2.87108298,-0.681535392,10.43510715,10.491352025,-0.472392713,5.83232544,5.875540245,-9304.5685584043,oS,8,-52894.58101571063,oS,8,-4.415392352919298,-7.491602331734612,0.5,0.5,-31099.574787057467,-4652.28427920215,-26447.290507855316,-5.953497342326955,-2.207696176459649,-3.745801165867306,0.7276561726503132,-7.110828680404666,-1.1573313380795298
Ge3Te3,binaries,trigonal,hR,30.0,4.15594712,8.0,pbe,-121018.73369555804,65.09587316,31.339,32.461,,32,52,"[52, 52, 52, 32, 32, 32]",29,32_Ge,6,52,32,-2.04580993,-1.30030917,0.9509,24.0,1.1493,25.0,0.4294,19.0,0.0,0.0,0.9267,15.0,1.1746,16.0,0.2666,10.0,0.0,0.0,-5.22038962,-5.22038962,-4.41225871,-2.8632044,-2.094118341,8.6303583,8.658444017,-1.373580878,7.90478803,7.954111801,-184945.0311646532,hP,3,-57112.085877130776,cF,2,-6.491453493596055,-6.941601861195522,0.5,0.5,-121028.55852089198,-92472.5155823266,-28556.042938565388,-6.7165276773957885,-3.2457267467980273,-3.470800930597761,9.824825333944318,-16.625314203483867,-9.908786526088079
As4Ga4,binaries,cubic,cF,30.0,3.96209252,8.0,pbe,-57206.2835566958,53.39614043,30.988,31.243,,31,33,"[33, 33, 33, 33, 31, 31, 31, 31]",30,33_As,8,33,31,-0.61025079,-0.34248556,0.8605,15.0,1.0519,16.0,0.2524,10.0,0.0,0.0,1.0075,15.0,1.3468,16.0,0.2822,10.0,0.0,0.0,-5.90793687,-3.58091621,-2.87108298,-2.87108298,-0.672988541,9.84721516,9.896739284,-0.472392713,5.83232544,5.875540245,-61521.83607977267,hR,6,-52894.58101571063,oS,8,-5.379576365608955,-7.491602331734612,0.5,0.5,-57208.208547741655,-30760.918039886335,-26447.290507855316,-6.435589348671783,-2.6897881828044774,-3.745801165867306,1.9249910458493105,-8.70433396250155,-2.2687446138297673
Cd2Se2,binaries,hexagonal,hP,30.0,4.00243366,8.0,pbe,-109183.41318418688,54.48901111,31.029,30.598,,34,48,"[34, 34, 48, 48]",31,34_Se,4,34,48,-2.06166622,0.99936643,0.8011,15.0,0.9576,16.0,0.2396,10.0,0.0,0.0,1.2328,24.0,1.7563,25.0,0.5191,19.0,0.0,0.0,-5.61532081,-5.61532081,-5.69765828,-1.11459223,-2.137150532,9.48645635,9.521048509,0.958243665,9.27058591,9.309496174,-66123.76724823167,hP,3,-152246.48366730107,hP,2,-5.872283945573145,-29.138214173348388,0.5,0.5,-109185.12545776638,-33061.883624115835,-76123.24183365054,-17.505249059460766,-2.9361419727865723,-14.569107086674194,1.7122735794982873,-19.836184966552537,-2.3309359070990467
Br4K4,binaries,cubic,cF,30.0,3.55545448,8.0,pbe,-43648.60380262471,39.00068965,28.673,32.686,,19,35,"[35, 35, 35, 35, 19, 19, 19, 19]",32,35_Br,8,35,19,-3.41759179,-0.43675274,0.7517,15.0,0.8829,16.0,0.2281,10.0,0.0,0.0,2.2067,10.0,0.6124,7.0,2.1213,15.0,0.0,0.0,-7.45588585,0.09904591,-2.54312301,-1.54022265,-3.486670625,11.82274486,11.864677775,-0.455694178,4.39443171,4.391262303,-70921.21920675963,oS,8,-16369.688656852424,cI,2,-8.670937756731291,-15.022167572460603,0.5,0.5,-43645.45393180603,-35460.60960337982,-8184.844328426212,-11.846552664595947,-4.335468878365646,-7.5110837862303015,-3.149870818682757,-10.470509325765306,1.376043338830641
Cl4Rb4,binaries,cubic,cF,30.0,3.58837976,8.0,pbe,-46832.84856753625,52.60072066,35.117,31.626,,17,37,"[17, 17, 17, 17, 37, 37, 37, 37]",33,37_Rb,8,17,37,-3.61204219,-0.40636218,0.6782,6.0,0.7558,7.0,2.2149,14.0,0.0,0.0,2.2908,19.0,0.7567,16.0,2.406,23.0,0.0,0.0,-8.09428669,0.07351292,-2.44822839,-1.59614662,-3.692423862,12.97184405,13.023881781,-0.40491945,4.22308105,4.228539491,-12541.641673578915,oS,8,-81111.86337563576,cI,2,-16.40320927051289,-17.41442231880501,0.5,0.5,-46826.752524607335,-6270.820836789458,-40555.93168781788,-16.90881579465895,-8.201604635256444,-8.707211159402505,-6.096042928918905,-12.713657937099924,4.195157857560844
